age,sex,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,Diet,Digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_Ent_Ferm
1,male,21.0,0.3057851239669421,500.0,0.322,3.159,1.2,0.486,extensive,0.227,0.717,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.273,0.006
2,male,21.305785123966945,0.3057851239669421,500.0,0.322,3.193,1.2,0.491,extensive,0.227,0.725,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.362,0.006
3,male,21.611570247933884,0.3057851239669421,500.0,0.322,3.228,1.2,0.496,extensive,0.227,0.733,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.452,0.006
4,male,21.917355371900825,0.3057851239669421,500.0,0.322,3.262,1.2,0.502,extensive,0.227,0.74,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.542,0.006
5,male,22.223140495867767,0.3057851239669421,500.0,0.322,3.296,1.2,0.507,extensive,0.227,0.748,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.631,0.006
6,male,22.52892561983471,0.3057851239669421,500.0,0.322,3.33,1.2,0.512,extensive,0.227,0.756,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.72,0.006
7,male,22.83471074380165,0.3057851239669421,500.0,0.322,3.364,1.2,0.517,extensive,0.227,0.764,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.809,0.006
8,male,23.1404958677686,0.3057851239669421,500.0,0.322,3.397,1.2,0.522,extensive,0.227,0.771,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.894,0.006
9,male,23.446280991735534,0.3057851239669421,500.0,0.322,3.431,1.2,0.528,extensive,0.227,0.779,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.986,0.006
10,male,23.75206611570248,0.3057851239669421,500.0,0.322,3.464,1.2,0.533,extensive,0.227,0.786,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.071,0.007
11,male,24.05785123966942,0.3057851239669421,500.0,0.322,3.498,1.2,0.538,extensive,0.227,0.794,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.16,0.007
12,male,24.363636363636363,0.3057851239669421,500.0,0.322,3.531,1.2,0.543,extensive,0.227,0.802,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.247,0.007
13,male,24.669421487603305,0.3057851239669421,500.0,0.322,3.564,1.2,0.548,extensive,0.227,0.809,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.333,0.007
14,male,24.975206611570247,0.3057851239669421,500.0,0.322,3.597,1.2,0.553,extensive,0.227,0.817,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.42,0.007
15,male,25.28099173553719,0.3057851239669421,500.0,0.322,3.63,1.2,0.558,extensive,0.227,0.824,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.505,0.007
16,male,25.58677685950413,0.3057851239669421,500.0,0.322,3.663,1.2,0.563,extensive,0.227,0.832,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.592,0.007
17,male,25.89256198347108,0.3057851239669421,500.0,0.322,3.696,1.2,0.568,extensive,0.227,0.839,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.678,0.007
18,male,26.198347107438018,0.3057851239669421,500.0,0.322,3.729,1.2,0.573,extensive,0.227,0.846,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.763,0.007
19,male,26.50413223140496,0.3057851239669421,500.0,0.322,3.761,1.2,0.578,extensive,0.227,0.854,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.848,0.007
20,male,26.8099173553719,0.3057851239669421,500.0,0.322,3.794,1.2,0.583,extensive,0.227,0.861,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.934,0.007
21,male,27.115702479338843,0.3057851239669421,500.0,0.322,3.826,1.2,0.588,extensive,0.227,0.869,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.019,0.007
22,male,27.421487603305785,0.3057851239669421,500.0,0.322,3.859,1.2,0.593,extensive,0.227,0.876,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.104,0.007
23,male,27.727272727272727,0.3057851239669421,500.0,0.322,3.891,1.2,0.598,extensive,0.227,0.883,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.188,0.007
24,male,28.03305785123967,0.3057851239669421,500.0,0.322,3.923,1.2,0.603,extensive,0.227,0.891,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.273,0.007
25,male,28.33884297520661,0.3057851239669421,500.0,0.322,3.955,1.2,0.608,extensive,0.227,0.898,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.357,0.007
26,male,28.644628099173552,0.3057851239669421,500.0,0.322,3.987,1.2,0.613,extensive,0.227,0.905,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.44,0.008
27,male,28.95041322314049,0.3057851239669421,500.0,0.322,4.019,1.2,0.618,extensive,0.227,0.912,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.524,0.008
28,male,29.25619834710744,0.3057851239669421,500.0,0.322,4.051,1.2,0.623,extensive,0.227,0.92,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.609,0.008
29,male,29.561983471074377,0.3057851239669421,500.0,0.322,4.082,1.2,0.628,extensive,0.227,0.927,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.691,0.008
30,male,29.86776859504132,0.3057851239669421,500.0,0.322,4.114,1.2,0.633,extensive,0.227,0.934,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.774,0.008
31,male,30.173553719008265,0.3057851239669421,500.0,0.322,4.145,1.2,0.637,extensive,0.227,0.941,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.853,0.008
32,male,30.479338842975206,0.3057851239669421,500.0,0.322,4.177,1.2,0.642,extensive,0.227,0.948,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.937,0.008
33,male,30.785123966942148,0.3057851239669421,500.0,0.322,4.208,1.2,0.647,extensive,0.227,0.955,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.019,0.008
34,male,31.09090909090909,0.3057851239669421,500.0,0.322,4.24,1.2,0.652,extensive,0.227,0.962,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.102,0.008
35,male,31.39669421487603,0.3057851239669421,500.0,0.322,4.271,1.2,0.657,extensive,0.227,0.97,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.186,0.008
36,male,31.702479338842977,0.3057851239669421,500.0,0.322,4.302,1.2,0.661,extensive,0.227,0.977,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.265,0.008
37,male,32.00826446280992,0.3057851239669421,500.0,0.322,4.333,1.2,0.666,extensive,0.227,0.984,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.346,0.008
38,male,32.31404958677686,0.3057851239669421,500.0,0.322,4.364,1.2,0.671,extensive,0.227,0.991,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.428,0.008
39,male,32.6198347107438,0.3057851239669421,500.0,0.322,4.395,1.2,0.676,extensive,0.227,0.998,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.51,0.008
40,male,32.925619834710744,0.3057851239669421,500.0,0.322,4.426,1.2,0.681,extensive,0.227,1.005,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.592,0.008
41,male,33.231404958677686,0.3057851239669421,500.0,0.322,4.457,1.2,0.685,extensive,0.227,1.012,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.671,0.008
42,male,33.53719008264463,0.3057851239669421,500.0,0.322,4.487,1.2,0.69,extensive,0.227,1.019,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.751,0.008
43,male,33.84297520661157,0.3057851239669421,500.0,0.322,4.518,1.2,0.695,extensive,0.227,1.026,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.832,0.009
44,male,34.14876033057851,0.3057851239669421,500.0,0.322,4.549,1.2,0.699,extensive,0.227,1.033,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.911,0.009
45,male,34.45454545454545,0.3057851239669421,500.0,0.322,4.579,1.2,0.704,extensive,0.227,1.039,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.99,0.009
46,male,34.760330578512395,0.3057851239669421,500.0,0.322,4.61,1.2,0.709,extensive,0.227,1.046,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.071,0.009
47,male,35.06611570247934,0.3057851239669421,500.0,0.322,4.64,1.2,0.713,extensive,0.227,1.053,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.149,0.009
48,male,35.37190082644628,0.3057851239669421,500.0,0.322,4.67,1.2,0.718,extensive,0.227,1.06,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.228,0.009
49,male,35.67768595041322,0.3057851239669421,500.0,0.322,4.701,1.2,0.723,extensive,0.227,1.067,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.31,0.009
50,male,35.98347107438016,0.3057851239669421,500.0,0.322,4.731,1.2,0.727,extensive,0.227,1.074,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.387,0.009
51,male,36.289256198347104,0.3057851239669421,500.0,0.322,4.761,1.2,0.732,extensive,0.227,1.081,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.467,0.009
52,male,36.595041322314046,0.3057851239669421,500.0,0.322,4.791,1.2,0.737,extensive,0.227,1.088,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.547,0.009
53,male,36.90082644628099,0.3057851239669421,500.0,0.322,4.821,1.2,0.741,extensive,0.227,1.094,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.623,0.009
54,male,37.20661157024793,0.3057851239669421,500.0,0.322,4.851,1.2,0.746,extensive,0.227,1.101,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.703,0.009
55,male,37.51239669421487,0.3057851239669421,500.0,0.322,4.881,1.2,0.75,extensive,0.227,1.108,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.78,0.009
56,male,37.81818181818181,0.3057851239669421,500.0,0.322,4.911,1.2,0.755,extensive,0.227,1.115,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.86,0.009
57,male,38.12396694214876,0.3057851239669421,500.0,0.322,4.94,1.2,0.76,extensive,0.227,1.121,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.936,0.009
58,male,38.4297520661157,0.3057851239669421,500.0,0.322,4.97,1.2,0.764,extensive,0.227,1.128,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.014,0.009
59,male,38.73553719008264,0.3057851239669421,500.0,0.322,5.0,1.2,0.769,extensive,0.227,1.135,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.093,0.009
60,male,39.04132231404959,0.3057851239669421,500.0,0.322,5.029,1.2,0.773,extensive,0.227,1.142,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.169,0.009
61,male,39.34710743801653,0.3057851239669421,500.0,0.322,5.059,1.2,0.778,extensive,0.227,1.148,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.247,0.01
