age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,Diet,Digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_Ent_Ferm
1,female,no,20.0,0.2479,275.0,0.322,3.045,0.8,0.789,extensive,0.227,0.691,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.8,0.006
2,female,no,20.25,0.2479,275.0,0.322,3.074,0.8,0.797,extensive,0.227,0.698,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.885,0.006
3,female,no,20.5,0.2479,275.0,0.322,3.102,0.8,0.804,extensive,0.227,0.704,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,8.965,0.006
4,female,no,20.74,0.2479,275.0,0.322,3.129,0.8,0.811,extensive,0.227,0.71,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.043,0.006
5,female,no,20.99,0.2479,275.0,0.322,3.158,0.8,0.819,extensive,0.227,0.717,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.129,0.007
6,female,no,21.24,0.2479,275.0,0.322,3.186,0.8,0.826,extensive,0.227,0.723,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.208,0.007
7,female,no,21.49,0.2479,275.0,0.322,3.214,0.8,0.833,extensive,0.227,0.73,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.29,0.007
8,female,no,21.74,0.2479,275.0,0.322,3.242,0.8,0.84,extensive,0.227,0.736,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.369,0.007
9,female,no,21.98,0.2479,275.0,0.322,3.269,0.8,0.847,extensive,0.227,0.742,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.447,0.007
10,female,no,22.23,0.2479,275.0,0.322,3.297,0.8,0.855,extensive,0.227,0.748,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.529,0.007
11,female,no,22.48,0.2479,275.0,0.322,3.324,0.8,0.862,extensive,0.227,0.755,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.609,0.007
12,female,no,22.73,0.2479,275.0,0.322,3.352,0.8,0.869,extensive,0.227,0.761,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.689,0.007
13,female,no,22.98,0.2479,275.0,0.322,3.38,0.8,0.876,extensive,0.227,0.767,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.768,0.007
14,female,no,23.22,0.2479,275.0,0.322,3.406,0.8,0.883,extensive,0.227,0.773,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.844,0.007
15,female,no,23.47,0.2479,275.0,0.322,3.434,0.8,0.89,extensive,0.227,0.78,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,9.926,0.007
16,female,no,23.72,0.2479,275.0,0.322,3.461,0.8,0.897,extensive,0.227,0.786,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.003,0.007
17,female,no,23.97,0.2479,275.0,0.322,3.488,0.8,0.904,extensive,0.227,0.792,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.081,0.007
18,female,no,24.21,0.2479,275.0,0.322,3.514,0.8,0.911,extensive,0.227,0.798,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.157,0.007
