age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
1,male,no,40.0,0.9917,900.0,0.322,5.122,1.2,1.842,semi-intensive,0.085,0.435,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.811,0.011
2,male,no,40.99,0.9917,900.0,0.322,5.216,1.2,1.876,semi-intensive,0.085,0.443,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.083,0.011
3,male,no,41.98,0.9917,900.0,0.322,5.311,1.2,1.91,semi-intensive,0.085,0.451,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.357,0.011
4,male,no,42.98,0.9917,900.0,0.322,5.405,1.2,1.944,semi-intensive,0.085,0.459,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.63,0.011
5,male,no,43.97,0.9917,900.0,0.322,5.498,1.2,1.978,semi-intensive,0.085,0.467,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.9,0.011
6,male,no,44.96,0.9917,900.0,0.322,5.591,1.2,2.011,semi-intensive,0.085,0.475,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,16.168,0.012
7,male,no,45.95,0.9917,900.0,0.322,5.683,1.2,2.044,semi-intensive,0.085,0.483,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,16.434,0.012
8,male,no,46.94,0.9917,900.0,0.322,5.774,1.2,2.077,semi-intensive,0.085,0.491,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,16.699,0.012
9,male,no,47.93,0.9917,900.0,0.322,5.866,1.2,2.11,semi-intensive,0.085,0.499,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,16.965,0.012
10,male,no,48.93,0.9917,900.0,0.322,5.957,1.2,2.143,semi-intensive,0.085,0.506,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,17.227,0.012
11,male,no,49.92,0.9917,900.0,0.322,6.047,1.2,2.175,semi-intensive,0.085,0.514,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,17.487,0.013
