age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
1,female,no,25.0,0.5785,380.0,0.322,3.6,0.8,1.855,extensive,0.227,0.817,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.779,0.009
2,female,no,25.58,0.5785,380.0,0.322,3.663,0.8,1.887,extensive,0.227,0.832,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.003,0.009
3,female,no,26.16,0.5785,380.0,0.322,3.725,0.8,1.919,extensive,0.227,0.846,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.223,0.01
4,female,no,26.74,0.5785,380.0,0.322,3.786,0.8,1.951,extensive,0.227,0.859,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.44,0.01
5,female,no,27.31,0.5785,380.0,0.322,3.847,0.8,1.982,extensive,0.227,0.873,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.655,0.01
6,female,no,27.89,0.5785,380.0,0.322,3.908,0.8,2.014,extensive,0.227,0.887,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.874,0.01
7,female,no,28.47,0.5785,380.0,0.322,3.969,0.8,2.045,extensive,0.227,0.901,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.089,0.01
8,female,no,29.05,0.5785,380.0,0.322,4.029,0.8,2.076,extensive,0.227,0.915,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.303,0.01
9,female,no,29.63,0.5785,380.0,0.322,4.089,0.8,2.107,extensive,0.227,0.928,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.515,0.01
10,female,no,30.21,0.5785,380.0,0.322,4.149,0.8,2.138,extensive,0.227,0.942,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.729,0.011
11,female,no,30.79,0.5785,380.0,0.322,4.209,0.8,2.169,extensive,0.227,0.955,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.941,0.011
12,female,no,31.36,0.5785,380.0,0.322,4.267,0.8,2.199,extensive,0.227,0.969,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.149,0.011
13,female,no,31.94,0.5785,380.0,0.322,4.326,0.8,2.229,extensive,0.227,0.982,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.357,0.011
14,female,no,32.52,0.5785,380.0,0.322,4.385,0.8,2.26,extensive,0.227,0.995,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.567,0.011
15,female,no,33.1,0.5785,380.0,0.322,4.444,0.8,2.29,extensive,0.227,1.009,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.777,0.011
16,female,no,33.68,0.5785,380.0,0.322,4.502,0.8,2.32,extensive,0.227,1.022,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,15.983,0.011
