cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,aberdeen-angus,male-castrated,950.0,37.0,0.9504132231404959
2,aberdeen-angus,male-castrated,950.0,37.950413223140494,0.9504132231404959
3,aberdeen-angus,male-castrated,950.0,38.900826446280995,0.9504132231404959
4,aberdeen-angus,male-castrated,950.0,39.85123966942149,0.9504132231404959
5,aberdeen-angus,male-castrated,950.0,40.80165289256198,0.9504132231404959
6,aberdeen-angus,male-castrated,950.0,41.752066115702476,0.9504132231404959
7,aberdeen-angus,male-castrated,950.0,42.70247933884298,0.9504132231404959
8,aberdeen-angus,male-castrated,950.0,43.65289256198347,0.9504132231404959
9,aberdeen-angus,male-castrated,950.0,44.603305785123965,0.9504132231404959
10,aberdeen-angus,male-castrated,950.0,45.553719008264466,0.9504132231404959
11,aberdeen-angus,male-castrated,950.0,46.50413223140496,0.9504132231404959
12,aberdeen-angus,male-castrated,950.0,47.45454545454545,0.9504132231404959
13,aberdeen-angus,male-castrated,950.0,48.404958677685954,0.9504132231404959
14,aberdeen-angus,male-castrated,950.0,49.35537190082645,0.9504132231404959
15,aberdeen-angus,male-castrated,950.0,50.30578512396694,0.9504132231404959
16,aberdeen-angus,male-castrated,950.0,51.25619834710744,0.9504132231404959
17,aberdeen-angus,male-castrated,950.0,52.20661157024794,0.9504132231404959
18,aberdeen-angus,male-castrated,950.0,53.15702479338843,0.9504132231404959
19,aberdeen-angus,male-castrated,950.0,54.10743801652893,0.9504132231404959
20,aberdeen-angus,male-castrated,950.0,55.05785123966942,0.9504132231404959
21,aberdeen-angus,male-castrated,950.0,56.00826446280992,0.9504132231404959
22,aberdeen-angus,male-castrated,950.0,56.95867768595041,0.9504132231404959
23,aberdeen-angus,male-castrated,950.0,57.90909090909091,0.9504132231404959
24,aberdeen-angus,male-castrated,950.0,58.85950413223141,0.9504132231404959
25,aberdeen-angus,male-castrated,950.0,59.8099173553719,0.9504132231404959
26,aberdeen-angus,male-castrated,950.0,60.760330578512395,0.9504132231404959
27,aberdeen-angus,male-castrated,950.0,61.710743801652896,0.9504132231404959
28,aberdeen-angus,male-castrated,950.0,62.66115702479339,0.9504132231404959
29,aberdeen-angus,male-castrated,950.0,63.611570247933884,0.9504132231404959
30,aberdeen-angus,male-castrated,950.0,64.56198347107438,0.9504132231404959
31,aberdeen-angus,male-castrated,950.0,65.51239669421489,0.9504132231404959
32,aberdeen-angus,male-castrated,950.0,66.46280991735537,0.9504132231404959
33,aberdeen-angus,male-castrated,950.0,67.41322314049587,0.9504132231404959
34,aberdeen-angus,male-castrated,950.0,68.36363636363637,0.9504132231404959
35,aberdeen-angus,male-castrated,950.0,69.31404958677686,0.9504132231404959
36,aberdeen-angus,male-castrated,950.0,70.26446280991735,0.9504132231404959
37,aberdeen-angus,male-castrated,950.0,71.21487603305786,0.9504132231404959
38,aberdeen-angus,male-castrated,950.0,72.16528925619835,0.9504132231404959
39,aberdeen-angus,male-castrated,950.0,73.11570247933884,0.9504132231404959
40,aberdeen-angus,male-castrated,950.0,74.06611570247935,0.9504132231404959
41,aberdeen-angus,male-castrated,950.0,75.01652892561984,0.9504132231404959
42,aberdeen-angus,male-castrated,950.0,75.96694214876032,0.9504132231404959
43,aberdeen-angus,male-castrated,950.0,76.91735537190083,0.9504132231404959
44,aberdeen-angus,male-castrated,950.0,77.86776859504133,0.9504132231404959
45,aberdeen-angus,male-castrated,950.0,78.81818181818181,0.9504132231404959
46,aberdeen-angus,male-castrated,950.0,79.76859504132231,0.9504132231404959
47,aberdeen-angus,male-castrated,950.0,80.71900826446281,0.9504132231404959
48,aberdeen-angus,male-castrated,950.0,81.6694214876033,0.9504132231404959
49,aberdeen-angus,male-castrated,950.0,82.6198347107438,0.9504132231404959
50,aberdeen-angus,male-castrated,950.0,83.5702479338843,0.9504132231404959
51,aberdeen-angus,male-castrated,950.0,84.52066115702479,0.9504132231404959
52,aberdeen-angus,male-castrated,950.0,85.47107438016529,0.9504132231404959
53,aberdeen-angus,male-castrated,950.0,86.42148760330579,0.9504132231404959
54,aberdeen-angus,male-castrated,950.0,87.37190082644628,0.9504132231404959
55,aberdeen-angus,male-castrated,950.0,88.32231404958678,0.9504132231404959
56,aberdeen-angus,male-castrated,950.0,89.27272727272728,0.9504132231404959
57,aberdeen-angus,male-castrated,950.0,90.22314049586777,0.9504132231404959
58,aberdeen-angus,male-castrated,950.0,91.17355371900827,0.9504132231404959
59,aberdeen-angus,male-castrated,950.0,92.12396694214877,0.9504132231404959
60,aberdeen-angus,male-castrated,950.0,93.07438016528926,0.9504132231404959
61,aberdeen-angus,male-castrated,950.0,94.02479338842976,0.9504132231404959
62,aberdeen-angus,male-castrated,950.0,94.97520661157026,0.9504132231404959
63,aberdeen-angus,male-castrated,950.0,95.92561983471074,0.9504132231404959
64,aberdeen-angus,male-castrated,950.0,96.87603305785125,0.9504132231404959
65,aberdeen-angus,male-castrated,950.0,97.82644628099175,0.9504132231404959
66,aberdeen-angus,male-castrated,950.0,98.77685950413223,0.9504132231404959
67,aberdeen-angus,male-castrated,950.0,99.72727272727273,0.9504132231404959
68,aberdeen-angus,male-castrated,950.0,100.67768595041323,0.9504132231404959
69,aberdeen-angus,male-castrated,950.0,101.62809917355372,0.9504132231404959
70,aberdeen-angus,male-castrated,950.0,102.57851239669422,0.9504132231404959
71,aberdeen-angus,male-castrated,950.0,103.52892561983471,0.9504132231404959
72,aberdeen-angus,male-castrated,950.0,104.47933884297521,0.9504132231404959
73,aberdeen-angus,male-castrated,950.0,105.42975206611571,0.9504132231404959
74,aberdeen-angus,male-castrated,950.0,106.3801652892562,0.9504132231404959
75,aberdeen-angus,male-castrated,950.0,107.3305785123967,0.9504132231404959
76,aberdeen-angus,male-castrated,950.0,108.2809917355372,0.9504132231404959
