cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,alentejana,male,913.0,34.0,0.6694214876033058
2,alentejana,male,913.0,34.66942148760331,0.6694214876033058
3,alentejana,male,913.0,35.33884297520661,0.6694214876033058
4,alentejana,male,913.0,36.00826446280992,0.6694214876033058
5,alentejana,male,913.0,36.67768595041322,0.6694214876033058
6,alentejana,male,913.0,37.34710743801653,0.6694214876033058
7,alentejana,male,913.0,38.01652892561984,0.6694214876033058
8,alentejana,male,913.0,38.68595041322314,0.6694214876033058
9,alentejana,male,913.0,39.35537190082645,0.6694214876033058
10,alentejana,male,913.0,40.02479338842975,0.6694214876033058
11,alentejana,male,913.0,40.69421487603306,0.6694214876033058
12,alentejana,male,913.0,41.36363636363636,0.6694214876033058
13,alentejana,male,913.0,42.03305785123967,0.6694214876033058
14,alentejana,male,913.0,42.70247933884298,0.6694214876033058
15,alentejana,male,913.0,43.37190082644628,0.6694214876033058
16,alentejana,male,913.0,44.04132231404959,0.6694214876033058
17,alentejana,male,913.0,44.710743801652896,0.6694214876033058
18,alentejana,male,913.0,45.3801652892562,0.6694214876033058
19,alentejana,male,913.0,46.049586776859506,0.6694214876033058
20,alentejana,male,913.0,46.71900826446281,0.6694214876033058
21,alentejana,male,913.0,47.388429752066116,0.6694214876033058
22,alentejana,male,913.0,48.05785123966942,0.6694214876033058
23,alentejana,male,913.0,48.72727272727273,0.6694214876033058
24,alentejana,male,913.0,49.396694214876035,0.6694214876033058
25,alentejana,male,913.0,50.06611570247934,0.6694214876033058
26,alentejana,male,913.0,50.735537190082646,0.6694214876033058
27,alentejana,male,913.0,51.404958677685954,0.6694214876033058
28,alentejana,male,913.0,52.074380165289256,0.6694214876033058
29,alentejana,male,913.0,52.74380165289256,0.6694214876033058
30,alentejana,male,913.0,53.413223140495866,0.6694214876033058
31,alentejana,male,913.0,54.082644628099175,0.6694214876033058
32,alentejana,male,913.0,54.752066115702476,0.6694214876033058
33,alentejana,male,913.0,55.421487603305785,0.6694214876033058
34,alentejana,male,913.0,56.09090909090909,0.6694214876033058
35,alentejana,male,913.0,56.760330578512395,0.6694214876033058
36,alentejana,male,913.0,57.429752066115704,0.6694214876033058
37,alentejana,male,913.0,58.09917355371901,0.6694214876033058
38,alentejana,male,913.0,58.768595041322314,0.6694214876033058
39,alentejana,male,913.0,59.438016528925615,0.6694214876033058
40,alentejana,male,913.0,60.107438016528924,0.6694214876033058
41,alentejana,male,913.0,60.77685950413223,0.6694214876033058
42,alentejana,male,913.0,61.446280991735534,0.6694214876033058
43,alentejana,male,913.0,62.11570247933884,0.6694214876033058
44,alentejana,male,913.0,62.78512396694215,0.6694214876033058
45,alentejana,male,913.0,63.45454545454545,0.6694214876033058
46,alentejana,male,913.0,64.12396694214875,0.6694214876033058
47,alentejana,male,913.0,64.79338842975207,0.6694214876033058
48,alentejana,male,913.0,65.46280991735537,0.6694214876033058
49,alentejana,male,913.0,66.13223140495867,0.6694214876033058
50,alentejana,male,913.0,66.80165289256198,0.6694214876033058
51,alentejana,male,913.0,67.47107438016529,0.6694214876033058
52,alentejana,male,913.0,68.14049586776859,0.6694214876033058
53,alentejana,male,913.0,68.80991735537191,0.6694214876033058
54,alentejana,male,913.0,69.47933884297521,0.6694214876033058
55,alentejana,male,913.0,70.14876033057851,0.6694214876033058
56,alentejana,male,913.0,70.81818181818181,0.6694214876033058
57,alentejana,male,913.0,71.48760330578511,0.6694214876033058
58,alentejana,male,913.0,72.15702479338843,0.6694214876033058
59,alentejana,male,913.0,72.82644628099173,0.6694214876033058
60,alentejana,male,913.0,73.49586776859505,0.6694214876033058
61,alentejana,male,913.0,74.16528925619835,0.6694214876033058
62,alentejana,male,913.0,74.83471074380165,0.6694214876033058
63,alentejana,male,913.0,75.50413223140495,0.6694214876033058
64,alentejana,male,913.0,76.17355371900825,0.6694214876033058
