cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,charolesa,male,1125.0,47.0,1.0330578512396693
2,charolesa,male,1125.0,48.03305785123967,1.0330578512396693
3,charolesa,male,1125.0,49.06611570247934,1.0330578512396693
4,charolesa,male,1125.0,50.099173553719005,1.0330578512396693
5,charolesa,male,1125.0,51.132231404958674,1.0330578512396693
6,charolesa,male,1125.0,52.16528925619835,1.0330578512396693
7,charolesa,male,1125.0,53.19834710743802,1.0330578512396693
8,charolesa,male,1125.0,54.231404958677686,1.0330578512396693
9,charolesa,male,1125.0,55.264462809917354,1.0330578512396693
10,charolesa,male,1125.0,56.29752066115702,1.0330578512396693
11,charolesa,male,1125.0,57.33057851239669,1.0330578512396693
12,charolesa,male,1125.0,58.36363636363636,1.0330578512396693
13,charolesa,male,1125.0,59.396694214876035,1.0330578512396693
14,charolesa,male,1125.0,60.4297520661157,1.0330578512396693
15,charolesa,male,1125.0,61.46280991735537,1.0330578512396693
16,charolesa,male,1125.0,62.49586776859504,1.0330578512396693
17,charolesa,male,1125.0,63.52892561983471,1.0330578512396693
18,charolesa,male,1125.0,64.56198347107437,1.0330578512396693
19,charolesa,male,1125.0,65.59504132231405,1.0330578512396693
20,charolesa,male,1125.0,66.62809917355372,1.0330578512396693
21,charolesa,male,1125.0,67.66115702479338,1.0330578512396693
22,charolesa,male,1125.0,68.69421487603306,1.0330578512396693
23,charolesa,male,1125.0,69.72727272727272,1.0330578512396693
24,charolesa,male,1125.0,70.7603305785124,1.0330578512396693
25,charolesa,male,1125.0,71.79338842975207,1.0330578512396693
26,charolesa,male,1125.0,72.82644628099173,1.0330578512396693
27,charolesa,male,1125.0,73.8595041322314,1.0330578512396693
28,charolesa,male,1125.0,74.89256198347107,1.0330578512396693
29,charolesa,male,1125.0,75.92561983471074,1.0330578512396693
30,charolesa,male,1125.0,76.9586776859504,1.0330578512396693
31,charolesa,male,1125.0,77.99173553719008,1.0330578512396693
32,charolesa,male,1125.0,79.02479338842974,1.0330578512396693
33,charolesa,male,1125.0,80.05785123966942,1.0330578512396693
34,charolesa,male,1125.0,81.0909090909091,1.0330578512396693
35,charolesa,male,1125.0,82.12396694214875,1.0330578512396693
36,charolesa,male,1125.0,83.15702479338842,1.0330578512396693
37,charolesa,male,1125.0,84.19008264462809,1.0330578512396693
38,charolesa,male,1125.0,85.22314049586777,1.0330578512396693
39,charolesa,male,1125.0,86.25619834710744,1.0330578512396693
40,charolesa,male,1125.0,87.2892561983471,1.0330578512396693
41,charolesa,male,1125.0,88.32231404958677,1.0330578512396693
42,charolesa,male,1125.0,89.35537190082644,1.0330578512396693
43,charolesa,male,1125.0,90.38842975206612,1.0330578512396693
44,charolesa,male,1125.0,91.42148760330578,1.0330578512396693
45,charolesa,male,1125.0,92.45454545454545,1.0330578512396693
46,charolesa,male,1125.0,93.48760330578511,1.0330578512396693
47,charolesa,male,1125.0,94.52066115702479,1.0330578512396693
48,charolesa,male,1125.0,95.55371900826447,1.0330578512396693
49,charolesa,male,1125.0,96.58677685950413,1.0330578512396693
50,charolesa,male,1125.0,97.61983471074379,1.0330578512396693
51,charolesa,male,1125.0,98.65289256198346,1.0330578512396693
52,charolesa,male,1125.0,99.68595041322314,1.0330578512396693
53,charolesa,male,1125.0,100.7190082644628,1.0330578512396693
54,charolesa,male,1125.0,101.75206611570248,1.0330578512396693
55,charolesa,male,1125.0,102.78512396694214,1.0330578512396693
56,charolesa,male,1125.0,103.81818181818181,1.0330578512396693
57,charolesa,male,1125.0,104.85123966942149,1.0330578512396693
58,charolesa,male,1125.0,105.88429752066115,1.0330578512396693
59,charolesa,male,1125.0,106.91735537190081,1.0330578512396693
60,charolesa,male,1125.0,107.95041322314049,1.0330578512396693
61,charolesa,male,1125.0,108.98347107438016,1.0330578512396693
62,charolesa,male,1125.0,110.01652892561984,1.0330578512396693
63,charolesa,male,1125.0,111.0495867768595,1.0330578512396693
64,charolesa,male,1125.0,112.08264462809916,1.0330578512396693
65,charolesa,male,1125.0,113.11570247933884,1.0330578512396693
66,charolesa,male,1125.0,114.14876033057851,1.0330578512396693
67,charolesa,male,1125.0,115.18181818181817,1.0330578512396693
68,charolesa,male,1125.0,116.21487603305785,1.0330578512396693
69,charolesa,male,1125.0,117.24793388429751,1.0330578512396693
70,charolesa,male,1125.0,118.28099173553719,1.0330578512396693
71,charolesa,male,1125.0,119.31404958677685,1.0330578512396693
72,charolesa,male,1125.0,120.34710743801652,1.0330578512396693
73,charolesa,male,1125.0,121.38016528925618,1.0330578512396693
74,charolesa,male,1125.0,122.41322314049586,1.0330578512396693
75,charolesa,male,1125.0,123.44628099173553,1.0330578512396693
76,charolesa,male,1125.0,124.4793388429752,1.0330578512396693
77,charolesa,male,1125.0,125.51239669421487,1.0330578512396693
78,charolesa,male,1125.0,126.54545454545453,1.0330578512396693
79,charolesa,male,1125.0,127.57851239669421,1.0330578512396693
80,charolesa,male,1125.0,128.61157024793386,1.0330578512396693
81,charolesa,male,1125.0,129.64462809917353,1.0330578512396693
