cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,limousine,male,1075.0,44.0,1.0661157024793388
2,limousine,male,1075.0,45.06611570247934,1.0661157024793388
3,limousine,male,1075.0,46.13223140495868,1.0661157024793388
4,limousine,male,1075.0,47.19834710743802,1.0661157024793388
5,limousine,male,1075.0,48.264462809917354,1.0661157024793388
6,limousine,male,1075.0,49.33057851239669,1.0661157024793388
7,limousine,male,1075.0,50.396694214876035,1.0661157024793388
8,limousine,male,1075.0,51.46280991735537,1.0661157024793388
9,limousine,male,1075.0,52.52892561983471,1.0661157024793388
10,limousine,male,1075.0,53.595041322314046,1.0661157024793388
11,limousine,male,1075.0,54.66115702479339,1.0661157024793388
12,limousine,male,1075.0,55.72727272727273,1.0661157024793388
13,limousine,male,1075.0,56.79338842975207,1.0661157024793388
14,limousine,male,1075.0,57.85950413223141,1.0661157024793388
15,limousine,male,1075.0,58.925619834710744,1.0661157024793388
16,limousine,male,1075.0,59.99173553719008,1.0661157024793388
17,limousine,male,1075.0,61.05785123966942,1.0661157024793388
18,limousine,male,1075.0,62.12396694214876,1.0661157024793388
19,limousine,male,1075.0,63.1900826446281,1.0661157024793388
20,limousine,male,1075.0,64.25619834710744,1.0661157024793388
21,limousine,male,1075.0,65.32231404958678,1.0661157024793388
22,limousine,male,1075.0,66.38842975206612,1.0661157024793388
23,limousine,male,1075.0,67.45454545454545,1.0661157024793388
24,limousine,male,1075.0,68.52066115702479,1.0661157024793388
25,limousine,male,1075.0,69.58677685950414,1.0661157024793388
26,limousine,male,1075.0,70.65289256198346,1.0661157024793388
27,limousine,male,1075.0,71.71900826446281,1.0661157024793388
28,limousine,male,1075.0,72.78512396694215,1.0661157024793388
29,limousine,male,1075.0,73.85123966942149,1.0661157024793388
30,limousine,male,1075.0,74.91735537190083,1.0661157024793388
31,limousine,male,1075.0,75.98347107438016,1.0661157024793388
32,limousine,male,1075.0,77.04958677685951,1.0661157024793388
33,limousine,male,1075.0,78.11570247933884,1.0661157024793388
34,limousine,male,1075.0,79.18181818181819,1.0661157024793388
35,limousine,male,1075.0,80.24793388429752,1.0661157024793388
36,limousine,male,1075.0,81.31404958677686,1.0661157024793388
37,limousine,male,1075.0,82.3801652892562,1.0661157024793388
