cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,mertolenga,female,380.0,25.0,0.5785123966942148
2,mertolenga,female,380.0,25.578512396694215,0.5785123966942148
3,mertolenga,female,380.0,26.15702479338843,0.5785123966942148
4,mertolenga,female,380.0,26.735537190082646,0.5785123966942148
5,mertolenga,female,380.0,27.31404958677686,0.5785123966942148
6,mertolenga,female,380.0,27.892561983471076,0.5785123966942148
7,mertolenga,female,380.0,28.47107438016529,0.5785123966942148
8,mertolenga,female,380.0,29.049586776859503,0.5785123966942148
9,mertolenga,female,380.0,29.628099173553718,0.5785123966942148
10,mertolenga,female,380.0,30.206611570247933,0.5785123966942148
11,mertolenga,female,380.0,30.785123966942148,0.5785123966942148
12,mertolenga,female,380.0,31.363636363636363,0.5785123966942148
13,mertolenga,female,380.0,31.94214876033058,0.5785123966942148
14,mertolenga,female,380.0,32.52066115702479,0.5785123966942148
15,mertolenga,female,380.0,33.099173553719005,0.5785123966942148
16,mertolenga,female,380.0,33.67768595041322,0.5785123966942148
17,mertolenga,female,380.0,34.256198347107436,0.5785123966942148
18,mertolenga,female,380.0,34.83471074380165,0.5785123966942148
19,mertolenga,female,380.0,35.413223140495866,0.5785123966942148
20,mertolenga,female,380.0,35.99173553719008,0.5785123966942148
21,mertolenga,female,380.0,36.570247933884296,0.5785123966942148
22,mertolenga,female,380.0,37.14876033057851,0.5785123966942148
23,mertolenga,female,380.0,37.72727272727273,0.5785123966942148
24,mertolenga,female,380.0,38.30578512396694,0.5785123966942148
25,mertolenga,female,380.0,38.88429752066116,0.5785123966942148
26,mertolenga,female,380.0,39.46280991735537,0.5785123966942148
27,mertolenga,female,380.0,40.04132231404959,0.5785123966942148
28,mertolenga,female,380.0,40.6198347107438,0.5785123966942148
29,mertolenga,female,380.0,41.19834710743801,0.5785123966942148
30,mertolenga,female,380.0,41.77685950413223,0.5785123966942148
31,mertolenga,female,380.0,42.35537190082644,0.5785123966942148
32,mertolenga,female,380.0,42.93388429752066,0.5785123966942148
33,mertolenga,female,380.0,43.51239669421487,0.5785123966942148
34,mertolenga,female,380.0,44.09090909090909,0.5785123966942148
35,mertolenga,female,380.0,44.6694214876033,0.5785123966942148
36,mertolenga,female,380.0,45.247933884297524,0.5785123966942148
37,mertolenga,female,380.0,45.82644628099173,0.5785123966942148
38,mertolenga,female,380.0,46.404958677685954,0.5785123966942148
39,mertolenga,female,380.0,46.98347107438016,0.5785123966942148
40,mertolenga,female,380.0,47.56198347107438,0.5785123966942148
41,mertolenga,female,380.0,48.14049586776859,0.5785123966942148
42,mertolenga,female,380.0,48.71900826446281,0.5785123966942148
43,mertolenga,female,380.0,49.29752066115702,0.5785123966942148
44,mertolenga,female,380.0,49.87603305785124,0.5785123966942148
45,mertolenga,female,380.0,50.45454545454545,0.5785123966942148
46,mertolenga,female,380.0,51.03305785123967,0.5785123966942148
47,mertolenga,female,380.0,51.611570247933884,0.5785123966942148
48,mertolenga,female,380.0,52.1900826446281,0.5785123966942148
49,mertolenga,female,380.0,52.768595041322314,0.5785123966942148
50,mertolenga,female,380.0,53.34710743801652,0.5785123966942148
51,mertolenga,female,380.0,53.925619834710744,0.5785123966942148
52,mertolenga,female,380.0,54.50413223140495,0.5785123966942148
53,mertolenga,female,380.0,55.082644628099175,0.5785123966942148
54,mertolenga,female,380.0,55.66115702479338,0.5785123966942148
55,mertolenga,female,380.0,56.239669421487605,0.5785123966942148
56,mertolenga,female,380.0,56.81818181818181,0.5785123966942148
57,mertolenga,female,380.0,57.39669421487603,0.5785123966942148
58,mertolenga,female,380.0,57.97520661157024,0.5785123966942148
59,mertolenga,female,380.0,58.55371900826446,0.5785123966942148
60,mertolenga,female,380.0,59.132231404958674,0.5785123966942148
61,mertolenga,female,380.0,59.71074380165289,0.5785123966942148
62,mertolenga,female,380.0,60.289256198347104,0.5785123966942148
63,mertolenga,female,380.0,60.86776859504132,0.5785123966942148
64,mertolenga,female,380.0,61.446280991735534,0.5785123966942148
65,mertolenga,female,380.0,62.02479338842975,0.5785123966942148
66,mertolenga,female,380.0,62.603305785123965,0.5785123966942148
67,mertolenga,female,380.0,63.18181818181818,0.5785123966942148
68,mertolenga,female,380.0,63.760330578512395,0.5785123966942148
69,mertolenga,female,380.0,64.3388429752066,0.5785123966942148
70,mertolenga,female,380.0,64.91735537190083,0.5785123966942148
71,mertolenga,female,380.0,65.49586776859505,0.5785123966942148
72,mertolenga,female,380.0,66.07438016528926,0.5785123966942148
73,mertolenga,female,380.0,66.65289256198346,0.5785123966942148
74,mertolenga,female,380.0,67.23140495867769,0.5785123966942148
75,mertolenga,female,380.0,67.80991735537191,0.5785123966942148
76,mertolenga,female,380.0,68.38842975206612,0.5785123966942148
77,mertolenga,female,380.0,68.96694214876032,0.5785123966942148
78,mertolenga,female,380.0,69.54545454545453,0.5785123966942148
79,mertolenga,female,380.0,70.12396694214875,0.5785123966942148
80,mertolenga,female,380.0,70.70247933884298,0.5785123966942148
81,mertolenga,female,380.0,71.28099173553719,0.5785123966942148
82,mertolenga,female,380.0,71.8595041322314,0.5785123966942148
83,mertolenga,female,380.0,72.43801652892562,0.5785123966942148
84,mertolenga,female,380.0,73.01652892561984,0.5785123966942148
85,mertolenga,female,380.0,73.59504132231405,0.5785123966942148
86,mertolenga,female,380.0,74.17355371900825,0.5785123966942148
87,mertolenga,female,380.0,74.75206611570248,0.5785123966942148
88,mertolenga,female,380.0,75.3305785123967,0.5785123966942148
89,mertolenga,female,380.0,75.9090909090909,0.5785123966942148
90,mertolenga,female,380.0,76.48760330578511,0.5785123966942148
91,mertolenga,female,380.0,77.06611570247934,0.5785123966942148
92,mertolenga,female,380.0,77.64462809917356,0.5785123966942148
93,mertolenga,female,380.0,78.22314049586777,0.5785123966942148
94,mertolenga,female,380.0,78.80165289256198,0.5785123966942148
95,mertolenga,female,380.0,79.3801652892562,0.5785123966942148
96,mertolenga,female,380.0,79.95867768595042,0.5785123966942148
97,mertolenga,female,380.0,80.53719008264463,0.5785123966942148
98,mertolenga,female,380.0,81.11570247933884,0.5785123966942148
99,mertolenga,female,380.0,81.69421487603304,0.5785123966942148
100,mertolenga,female,380.0,82.27272727272727,0.5785123966942148
101,mertolenga,female,380.0,82.85123966942149,0.5785123966942148
102,mertolenga,female,380.0,83.4297520661157,0.5785123966942148
103,mertolenga,female,380.0,84.0082644628099,0.5785123966942148
104,mertolenga,female,380.0,84.58677685950413,0.5785123966942148
105,mertolenga,female,380.0,85.16528925619835,0.5785123966942148
106,mertolenga,female,380.0,85.74380165289256,0.5785123966942148
107,mertolenga,female,380.0,86.32231404958677,0.5785123966942148
108,mertolenga,female,380.0,86.90082644628099,0.5785123966942148
109,mertolenga,female,380.0,87.47933884297521,0.5785123966942148
110,mertolenga,female,380.0,88.05785123966942,0.5785123966942148
111,mertolenga,female,380.0,88.63636363636363,0.5785123966942148
112,mertolenga,female,380.0,89.21487603305785,0.5785123966942148
113,mertolenga,female,380.0,89.79338842975206,0.5785123966942148
114,mertolenga,female,380.0,90.37190082644628,0.5785123966942148
115,mertolenga,female,380.0,90.95041322314049,0.5785123966942148
116,mertolenga,female,380.0,91.52892561983471,0.5785123966942148
117,mertolenga,female,380.0,92.10743801652892,0.5785123966942148
118,mertolenga,female,380.0,92.68595041322314,0.5785123966942148
119,mertolenga,female,380.0,93.26446280991735,0.5785123966942148
120,mertolenga,female,380.0,93.84297520661157,0.5785123966942148
121,mertolenga,female,380.0,94.42148760330578,0.5785123966942148
122,mertolenga,female,380.0,95.0,0.5785123966942148
123,mertolenga,female,380.0,95.6043956043956,0.6043956043956044
124,mertolenga,female,380.0,96.20879120879121,0.6043956043956044
125,mertolenga,female,380.0,96.81318681318682,0.6043956043956044
126,mertolenga,female,380.0,97.41758241758242,0.6043956043956044
127,mertolenga,female,380.0,98.02197802197801,0.6043956043956044
128,mertolenga,female,380.0,98.62637362637362,0.6043956043956044
129,mertolenga,female,380.0,99.23076923076923,0.6043956043956044
130,mertolenga,female,380.0,99.83516483516483,0.6043956043956044
131,mertolenga,female,380.0,100.43956043956044,0.6043956043956044
132,mertolenga,female,380.0,101.04395604395604,0.6043956043956044
133,mertolenga,female,380.0,101.64835164835165,0.6043956043956044
134,mertolenga,female,380.0,102.25274725274726,0.6043956043956044
135,mertolenga,female,380.0,102.85714285714286,0.6043956043956044
136,mertolenga,female,380.0,103.46153846153847,0.6043956043956044
137,mertolenga,female,380.0,104.06593406593407,0.6043956043956044
138,mertolenga,female,380.0,104.67032967032966,0.6043956043956044
139,mertolenga,female,380.0,105.27472527472527,0.6043956043956044
140,mertolenga,female,380.0,105.87912087912088,0.6043956043956044
141,mertolenga,female,380.0,106.48351648351648,0.6043956043956044
142,mertolenga,female,380.0,107.08791208791209,0.6043956043956044
143,mertolenga,female,380.0,107.6923076923077,0.6043956043956044
144,mertolenga,female,380.0,108.2967032967033,0.6043956043956044
145,mertolenga,female,380.0,108.9010989010989,0.6043956043956044
146,mertolenga,female,380.0,109.50549450549451,0.6043956043956044
147,mertolenga,female,380.0,110.1098901098901,0.6043956043956044
148,mertolenga,female,380.0,110.71428571428571,0.6043956043956044
149,mertolenga,female,380.0,111.31868131868131,0.6043956043956044
150,mertolenga,female,380.0,111.92307692307692,0.6043956043956044
151,mertolenga,female,380.0,112.52747252747253,0.6043956043956044
152,mertolenga,female,380.0,113.13186813186813,0.6043956043956044
153,mertolenga,female,380.0,113.73626373626374,0.6043956043956044
154,mertolenga,female,380.0,114.34065934065934,0.6043956043956044
155,mertolenga,female,380.0,114.94505494505495,0.6043956043956044
156,mertolenga,female,380.0,115.54945054945054,0.6043956043956044
157,mertolenga,female,380.0,116.15384615384616,0.6043956043956044
158,mertolenga,female,380.0,116.75824175824175,0.6043956043956044
159,mertolenga,female,380.0,117.36263736263736,0.6043956043956044
160,mertolenga,female,380.0,117.96703296703296,0.6043956043956044
161,mertolenga,female,380.0,118.57142857142857,0.6043956043956044
