cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,minhota,male-castrated,725.0,48.0,0.6859504132231405
2,minhota,male-castrated,725.0,48.68595041322314,0.6859504132231405
3,minhota,male-castrated,725.0,49.37190082644628,0.6859504132231405
4,minhota,male-castrated,725.0,50.05785123966942,0.6859504132231405
5,minhota,male-castrated,725.0,50.743801652892564,0.6859504132231405
6,minhota,male-castrated,725.0,51.429752066115704,0.6859504132231405
7,minhota,male-castrated,725.0,52.11570247933884,0.6859504132231405
8,minhota,male-castrated,725.0,52.80165289256198,0.6859504132231405
9,minhota,male-castrated,725.0,53.48760330578512,0.6859504132231405
10,minhota,male-castrated,725.0,54.17355371900827,0.6859504132231405
11,minhota,male-castrated,725.0,54.85950413223141,0.6859504132231405
12,minhota,male-castrated,725.0,55.54545454545455,0.6859504132231405
13,minhota,male-castrated,725.0,56.231404958677686,0.6859504132231405
14,minhota,male-castrated,725.0,56.917355371900825,0.6859504132231405
15,minhota,male-castrated,725.0,57.603305785123965,0.6859504132231405
16,minhota,male-castrated,725.0,58.289256198347104,0.6859504132231405
17,minhota,male-castrated,725.0,58.97520661157025,0.6859504132231405
18,minhota,male-castrated,725.0,59.66115702479339,0.6859504132231405
19,minhota,male-castrated,725.0,60.34710743801653,0.6859504132231405
20,minhota,male-castrated,725.0,61.03305785123967,0.6859504132231405
21,minhota,male-castrated,725.0,61.719008264462815,0.6859504132231405
22,minhota,male-castrated,725.0,62.404958677685954,0.6859504132231405
23,minhota,male-castrated,725.0,63.09090909090909,0.6859504132231405
24,minhota,male-castrated,725.0,63.77685950413223,0.6859504132231405
25,minhota,male-castrated,725.0,64.46280991735537,0.6859504132231405
26,minhota,male-castrated,725.0,65.14876033057851,0.6859504132231405
27,minhota,male-castrated,725.0,65.83471074380165,0.6859504132231405
28,minhota,male-castrated,725.0,66.52066115702479,0.6859504132231405
29,minhota,male-castrated,725.0,67.20661157024793,0.6859504132231405
30,minhota,male-castrated,725.0,67.89256198347107,0.6859504132231405
31,minhota,male-castrated,725.0,68.57851239669421,0.6859504132231405
32,minhota,male-castrated,725.0,69.26446280991736,0.6859504132231405
33,minhota,male-castrated,725.0,69.9504132231405,0.6859504132231405
34,minhota,male-castrated,725.0,70.63636363636364,0.6859504132231405
35,minhota,male-castrated,725.0,71.32231404958678,0.6859504132231405
36,minhota,male-castrated,725.0,72.00826446280992,0.6859504132231405
37,minhota,male-castrated,725.0,72.69421487603306,0.6859504132231405
38,minhota,male-castrated,725.0,73.3801652892562,0.6859504132231405
39,minhota,male-castrated,725.0,74.06611570247934,0.6859504132231405
40,minhota,male-castrated,725.0,74.75206611570248,0.6859504132231405
41,minhota,male-castrated,725.0,75.43801652892563,0.6859504132231405
42,minhota,male-castrated,725.0,76.12396694214877,0.6859504132231405
43,minhota,male-castrated,725.0,76.80991735537191,0.6859504132231405
44,minhota,male-castrated,725.0,77.49586776859505,0.6859504132231405
45,minhota,male-castrated,725.0,78.18181818181819,0.6859504132231405
46,minhota,male-castrated,725.0,78.86776859504133,0.6859504132231405
47,minhota,male-castrated,725.0,79.55371900826447,0.6859504132231405
48,minhota,male-castrated,725.0,80.2396694214876,0.6859504132231405
49,minhota,male-castrated,725.0,80.92561983471074,0.6859504132231405
50,minhota,male-castrated,725.0,81.61157024793388,0.6859504132231405
51,minhota,male-castrated,725.0,82.29752066115702,0.6859504132231405
52,minhota,male-castrated,725.0,82.98347107438016,0.6859504132231405
53,minhota,male-castrated,725.0,83.6694214876033,0.6859504132231405
54,minhota,male-castrated,725.0,84.35537190082644,0.6859504132231405
55,minhota,male-castrated,725.0,85.04132231404958,0.6859504132231405
56,minhota,male-castrated,725.0,85.72727272727272,0.6859504132231405
57,minhota,male-castrated,725.0,86.41322314049587,0.6859504132231405
58,minhota,male-castrated,725.0,87.09917355371901,0.6859504132231405
59,minhota,male-castrated,725.0,87.78512396694215,0.6859504132231405
60,minhota,male-castrated,725.0,88.47107438016529,0.6859504132231405
61,minhota,male-castrated,725.0,89.15702479338843,0.6859504132231405
62,minhota,male-castrated,725.0,89.84297520661157,0.6859504132231405
63,minhota,male-castrated,725.0,90.52892561983472,0.6859504132231405
64,minhota,male-castrated,725.0,91.21487603305786,0.6859504132231405
65,minhota,male-castrated,725.0,91.900826446281,0.6859504132231405
66,minhota,male-castrated,725.0,92.58677685950414,0.6859504132231405
67,minhota,male-castrated,725.0,93.27272727272728,0.6859504132231405
68,minhota,male-castrated,725.0,93.95867768595042,0.6859504132231405
69,minhota,male-castrated,725.0,94.64462809917356,0.6859504132231405
70,minhota,male-castrated,725.0,95.3305785123967,0.6859504132231405
