cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,preta,female,588.0,33.0,0.7024793388429752
2,preta,female,588.0,33.70247933884298,0.7024793388429752
3,preta,female,588.0,34.40495867768595,0.7024793388429752
4,preta,female,588.0,35.107438016528924,0.7024793388429752
5,preta,female,588.0,35.8099173553719,0.7024793388429752
6,preta,female,588.0,36.51239669421488,0.7024793388429752
7,preta,female,588.0,37.21487603305785,0.7024793388429752
8,preta,female,588.0,37.917355371900825,0.7024793388429752
9,preta,female,588.0,38.6198347107438,0.7024793388429752
10,preta,female,588.0,39.32231404958678,0.7024793388429752
11,preta,female,588.0,40.02479338842975,0.7024793388429752
12,preta,female,588.0,40.72727272727273,0.7024793388429752
13,preta,female,588.0,41.429752066115704,0.7024793388429752
14,preta,female,588.0,42.132231404958674,0.7024793388429752
15,preta,female,588.0,42.83471074380165,0.7024793388429752
16,preta,female,588.0,43.53719008264463,0.7024793388429752
17,preta,female,588.0,44.239669421487605,0.7024793388429752
18,preta,female,588.0,44.94214876033058,0.7024793388429752
19,preta,female,588.0,45.64462809917355,0.7024793388429752
20,preta,female,588.0,46.34710743801653,0.7024793388429752
21,preta,female,588.0,47.049586776859506,0.7024793388429752
22,preta,female,588.0,47.752066115702476,0.7024793388429752
23,preta,female,588.0,48.45454545454545,0.7024793388429752
24,preta,female,588.0,49.15702479338843,0.7024793388429752
25,preta,female,588.0,49.85950413223141,0.7024793388429752
26,preta,female,588.0,50.561983471074385,0.7024793388429752
27,preta,female,588.0,51.264462809917354,0.7024793388429752
28,preta,female,588.0,51.96694214876033,0.7024793388429752
29,preta,female,588.0,52.6694214876033,0.7024793388429752
30,preta,female,588.0,53.37190082644628,0.7024793388429752
31,preta,female,588.0,54.074380165289256,0.7024793388429752
32,preta,female,588.0,54.77685950413223,0.7024793388429752
33,preta,female,588.0,55.47933884297521,0.7024793388429752
34,preta,female,588.0,56.18181818181818,0.7024793388429752
35,preta,female,588.0,56.88429752066116,0.7024793388429752
36,preta,female,588.0,57.58677685950413,0.7024793388429752
37,preta,female,588.0,58.289256198347104,0.7024793388429752
38,preta,female,588.0,58.99173553719008,0.7024793388429752
39,preta,female,588.0,59.69421487603306,0.7024793388429752
40,preta,female,588.0,60.396694214876035,0.7024793388429752
41,preta,female,588.0,61.09917355371901,0.7024793388429752
42,preta,female,588.0,61.80165289256198,0.7024793388429752
43,preta,female,588.0,62.50413223140496,0.7024793388429752
44,preta,female,588.0,63.20661157024793,0.7024793388429752
45,preta,female,588.0,63.90909090909091,0.7024793388429752
46,preta,female,588.0,64.61157024793388,0.7024793388429752
47,preta,female,588.0,65.31404958677686,0.7024793388429752
48,preta,female,588.0,66.01652892561984,0.7024793388429752
49,preta,female,588.0,66.71900826446281,0.7024793388429752
50,preta,female,588.0,67.42148760330579,0.7024793388429752
51,preta,female,588.0,68.12396694214877,0.7024793388429752
52,preta,female,588.0,68.82644628099173,0.7024793388429752
53,preta,female,588.0,69.52892561983471,0.7024793388429752
54,preta,female,588.0,70.23140495867769,0.7024793388429752
55,preta,female,588.0,70.93388429752066,0.7024793388429752
56,preta,female,588.0,71.63636363636363,0.7024793388429752
57,preta,female,588.0,72.3388429752066,0.7024793388429752
58,preta,female,588.0,73.04132231404958,0.7024793388429752
59,preta,female,588.0,73.74380165289256,0.7024793388429752
60,preta,female,588.0,74.44628099173553,0.7024793388429752
61,preta,female,588.0,75.14876033057851,0.7024793388429752
62,preta,female,588.0,75.85123966942149,0.7024793388429752
63,preta,female,588.0,76.55371900826447,0.7024793388429752
64,preta,female,588.0,77.25619834710744,0.7024793388429752
65,preta,female,588.0,77.95867768595042,0.7024793388429752
66,preta,female,588.0,78.6611570247934,0.7024793388429752
67,preta,female,588.0,79.36363636363636,0.7024793388429752
68,preta,female,588.0,80.06611570247934,0.7024793388429752
69,preta,female,588.0,80.76859504132231,0.7024793388429752
70,preta,female,588.0,81.47107438016529,0.7024793388429752
71,preta,female,588.0,82.17355371900825,0.7024793388429752
72,preta,female,588.0,82.87603305785123,0.7024793388429752
73,preta,female,588.0,83.57851239669421,0.7024793388429752
74,preta,female,588.0,84.28099173553719,0.7024793388429752
75,preta,female,588.0,84.98347107438016,0.7024793388429752
76,preta,female,588.0,85.68595041322314,0.7024793388429752
77,preta,female,588.0,86.38842975206612,0.7024793388429752
78,preta,female,588.0,87.0909090909091,0.7024793388429752
79,preta,female,588.0,87.79338842975207,0.7024793388429752
80,preta,female,588.0,88.49586776859505,0.7024793388429752
81,preta,female,588.0,89.19834710743802,0.7024793388429752
82,preta,female,588.0,89.90082644628099,0.7024793388429752
83,preta,female,588.0,90.60330578512396,0.7024793388429752
84,preta,female,588.0,91.30578512396694,0.7024793388429752
85,preta,female,588.0,92.00826446280992,0.7024793388429752
86,preta,female,588.0,92.71074380165288,0.7024793388429752
87,preta,female,588.0,93.41322314049586,0.7024793388429752
88,preta,female,588.0,94.11570247933884,0.7024793388429752
89,preta,female,588.0,94.81818181818181,0.7024793388429752
90,preta,female,588.0,95.52066115702479,0.7024793388429752
91,preta,female,588.0,96.22314049586777,0.7024793388429752
92,preta,female,588.0,96.92561983471074,0.7024793388429752
93,preta,female,588.0,97.62809917355372,0.7024793388429752
94,preta,female,588.0,98.3305785123967,0.7024793388429752
95,preta,female,588.0,99.03305785123968,0.7024793388429752
96,preta,female,588.0,99.73553719008264,0.7024793388429752
97,preta,female,588.0,100.43801652892562,0.7024793388429752
98,preta,female,588.0,101.14049586776859,0.7024793388429752
99,preta,female,588.0,101.84297520661157,0.7024793388429752
100,preta,female,588.0,102.54545454545455,0.7024793388429752
101,preta,female,588.0,103.24793388429752,0.7024793388429752
102,preta,female,588.0,103.9504132231405,0.7024793388429752
103,preta,female,588.0,104.65289256198346,0.7024793388429752
104,preta,female,588.0,105.35537190082644,0.7024793388429752
105,preta,female,588.0,106.05785123966942,0.7024793388429752
106,preta,female,588.0,106.7603305785124,0.7024793388429752
107,preta,female,588.0,107.46280991735537,0.7024793388429752
108,preta,female,588.0,108.16528925619835,0.7024793388429752
109,preta,female,588.0,108.86776859504133,0.7024793388429752
110,preta,female,588.0,109.5702479338843,0.7024793388429752
111,preta,female,588.0,110.27272727272727,0.7024793388429752
112,preta,female,588.0,110.97520661157024,0.7024793388429752
113,preta,female,588.0,111.67768595041322,0.7024793388429752
114,preta,female,588.0,112.3801652892562,0.7024793388429752
115,preta,female,588.0,113.08264462809917,0.7024793388429752
116,preta,female,588.0,113.78512396694215,0.7024793388429752
117,preta,female,588.0,114.48760330578513,0.7024793388429752
118,preta,female,588.0,115.19008264462809,0.7024793388429752
119,preta,female,588.0,115.89256198347107,0.7024793388429752
120,preta,female,588.0,116.59504132231405,0.7024793388429752
121,preta,female,588.0,117.29752066115702,0.7024793388429752
122,preta,female,588.0,118.0,0.7024793388429752
123,preta,female,588.0,118.8021978021978,0.8021978021978022
124,preta,female,588.0,119.6043956043956,0.8021978021978022
125,preta,female,588.0,120.4065934065934,0.8021978021978022
126,preta,female,588.0,121.20879120879121,0.8021978021978022
127,preta,female,588.0,122.01098901098901,0.8021978021978022
128,preta,female,588.0,122.81318681318682,0.8021978021978022
129,preta,female,588.0,123.61538461538461,0.8021978021978022
